WaitingList,Program,Gender,TextEditor,Matlab,R,Github,Excel,SQL,SPSS,ggplot2,shell,C,Python,Stata,Latex,lattice,grep,Sweave,XML,Web,Dropbox,GoogleDrive,R_DataManipulationModelingExperience,R_GraphicsExperience,R_AdvDataAnalysisExperience,R_ReproducibleDocExperience,MatlabExperience,GithubExperience,SumExperience,RProgramExperience
1,No,IDSE (master),she/her,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,0,8,6
2,No,Other masters,he/him,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,1,1,1,6,5
3,No,Data Science Certification,he/him,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,3,2,2,3,2,2,14,10
4,No,IDSE (master),he/him,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,0
5,No,IDSE (master),he/him,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,2,2,1,0,0,6,7
6,No,IDSE (master),he/him,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,6,2
7,Yes,Statistics (master),he/him,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,2,2,1,0,2,2,9,5
8,No,QMSS (master),"doesnt matter,havent used any",1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,3,7,4
9,No,IDSE (master),he/him,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0
10,No,IDSE (master),he/him,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2,1,0,2,0,1,10,5
11,No,IDSE (master),he/him,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,1,0,2,1,0,5,5
12,No,IDSE (master),he/him,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,2,2,2,2,0,5,8
13,No,IDSE (master),he/him,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,3,2,3,2,2,2,12,10
14,Yes,Statistics (master),he/him,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,3,2,2,1,0,3,7,8
15,Yes,Statistics (master),she/her,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,1,4,3
16,No,QMSS (master),she/her,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,2,2,1,3,1,1,12,8
17,No,Other masters,she/her,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,1,2,1,1,6,7
18,No,IDSE (master),she/her,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,4,6
19,No,Statistics (master),she/her,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,5,4
20,No,IDSE (master),he/him,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,2,1,2,0,0,9,6
21,No,IDSE (master),he/him,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,3,2,2,3,2,2,14,10
22,No,IDSE (master),he/him,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,2,2,1,1,1,1,8,6
23,No,IDSE (master),he/him,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,2,2,2,2,1,2,11,8
24,Yes,Statistics (master),she/her,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,2,5
25,No,IDSE (master),she/her,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,5,4
26,Yes,Statistics (master),she/her,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,2,0,0,4,6
27,No,IDSE (master),he/him,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,2,2,1,1,1,2,12,6
28,No,IDSE (master),he/him,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,3,6
29,Yes,Statistics (master),he/him,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,6,4
30,No,Data Science Certification,he/him,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,4,2
31,No,QMSS (master),he/him,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,2,2,1,1,2,15,7
32,No,IDSE (master),she/her,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,2,2,2,1,1,1,8,7
33,No,Other masters,he/him,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,6,6
34,Yes,Other masters,she/her,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,1,1,2,2,6,6
35,No,IDSE (master),he/him,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,2,2,1,3,2,2,13,8
36,No,IDSE (master),he/him,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,2,2,1,3,1,2,9,8
37,No,IDSE (master),he/him,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,2,1,1,2,1,8,6
38,No,IDSE (master),he/him,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,6,5
39,No,Data Science Certification,he/him,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,2,1,0,0,2,0,9,3
40,Yes,Statistics (master),she/her,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,2,0,1,1,4,6
41,No,IDSE (master),he/him,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,2,2,2,1,0,2,9,7
42,Yes,Statistics (master),he/him,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,4,7
43,No,IDSE (master),he/him,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2,1,1,1,2,2,9,5
44,No,IDSE (master),he/him,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2,1,1,1,2,2,9,5
45,Yes,Statistics (master),she/her,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,1,1,1,5,9
46,No,IDSE (master),he/him,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5,4
47,No,IDSE (master),he/him,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,2,2,1,1,0,7,8
48,Yes,Statistics (master),she/her,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,4
49,Yes,Statistics (master),he/him,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,3,2,3,1,3,2,10,9
50,No,IDSE (master),she/her,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,2,1,1,0,6,7
51,No,IDSE (master),he/him,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,2,1,0,6,6
52,No,IDSE (master),she/her,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,4,2
53,No,Data Science Certification,he/him,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,11,3
54,No,IDSE (master),he/him,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4
55,No,Statistics (master),he/him,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2
56,No,IDSE (master),she/her,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,2,2,0,4,6
57,Yes,Statistics (master),he/him,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,5,4
58,No,IDSE (master),he/him,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,1,1,2,2,1,6,6
59,Yes,Ph.D.,he/him,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,4,5
60,No,IDSE (master),she/her,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,5,5
61,No,Data Science Certification,he/him,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,7,6
62,Yes,Statistics (master),he/him,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,3,2,2,2,2,1,9,9
63,No,IDSE (master),he/him,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,2,1,1,0,0,2,11,4
64,No,Data Science Certification,she/her,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,3,2,1,1,1,1,13,7
65,No,IDSE (master),he/him,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,2,1,1,0,0,2,11,4
66,No,Statistics (master),he/him,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1
67,No,IDSE (master),she/her,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,1,0,1,1,5,4
68,No,IDSE (master),she/her,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0
69,No,Data Science Certification,she/her,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,1,5,6
70,No,Data Science Certification,he/him,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
71,No,Data Science Certification,he/him,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,8,0
72,No,IDSE (master),he/him,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,3,3,2,3,2,2,14,11
73,No,Ph.D.,he/him,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,2,10,2
74,Yes,Other masters,he/him,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,3,1,1,1,0,1,11,6
75,No,Other masters,he/him,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,5,1
76,No,IDSE (master),he/him,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,2,0,0,8,5
77,No,Data Science Certification,he/him,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,1,1,4,3
78,No,IDSE (master),she/her,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2,0,1,2,0,2,10,5
79,No,IDSE (master),he/him,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,5,3
80,Yes,Other masters,he/him,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4
81,Yes,Statistics (master),she/her,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1
82,No,Other masters,she/her,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,4,4
83,No,IDSE (master),he/him,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,9,4
84,No,IDSE (master),he/him,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,5,4
85,No,IDSE (master),he/him,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,2,1,12,0
86,No,IDSE (master),she/her,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,2,0,0,2,2,2,12,4
87,No,IDSE (master),he/him,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1
88,No,Data Science Certification,she/her,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,0
89,No,Data Science Certification,he/him,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0
90,No,Data Science Certification,she/her,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,1,4,6
91,No,IDSE (master),she/her,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,1,0,1,5,4
92,No,Data Science Certification,he/him,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,7,1
93,No,IDSE (master),he/him,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,3,13,4
94,No,Data Science Certification,he/him,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,5,2
95,No,Data Science Certification,he/him,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,1
96,No,Data Science Certification,he/him,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,8,1
97,No,Ph.D.,she/her,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,2,1,1,0,0,1,8,4
98,No,Data Science Certification,,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,5,4
99,No,Data Science Certification,he/him,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,2,2,11,4
100,No,Data Science Certification,he/him,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,4,1
101,No,Other masters,he/him,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,2,2,2,2,2,2,13,8
102,No,IDSE (master),he/him,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,6,1
103,No,Other masters,he/him,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,2,2,2,2,1,8,8
104,No,IDSE (master),he/him,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,2,1,2,0,1,2,11,5
105,No,IDSE (master),he/him,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,2,1,5,5
106,No,IDSE (master),he/him,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2
107,No,Other masters,he/him,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,2,2,1,2,0,1,10,7
108,No,Data Science Certification,he/him,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,2,1,2,6,6
109,No,IDSE (master),he/him,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,2,2,2,2,2,2,14,8
110,No,IDSE (master),he/him,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2
111,No,Other masters,she/her,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,3
112,No,Data Science Certification,she/her,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,6,0
113,No,IDSE (master),he/him,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,3
114,No,IDSE (master),he/him,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,1,1,1,2,1,6,5